feature,importance
quantity_rolling_mean_7,0.6217916568315252
quantity_rolling_mean_14,0.27362117155367127
quantity_rolling_mean_30,0.03717624323825108
sum_total,0.02991708291771734
day_of_week,0.009244903757967304
sum_total_rolling_mean_30,0.008457348653905784
price_base,0.006726579566709122
quantity_lag_7,0.0025052402691266695
week_of_year,0.0024412254965382367
sum_total_rolling_mean_14,0.0016459109523925812
sum_total_rolling_mean_7,0.0015151566446414094
quantity_lag_30,0.0014349945990692783
sum_total_lag_30,0.0009004502407647073
day_of_month,0.0007177496503138982
item_id,0.0006867552220975401
sum_total_lag_7,0.0006560748648274977
month,0.00022091966826982942
promo_days,7.181030563803894e-05
store_id,6.591692283542557e-05
year,3.906012684036111e-05
online_revenue,3.658559135565256e-05
quarter,3.620200457820328e-05
online_qty,3.0114361471143267e-05
format,1.9272462034667762e-05
area,1.2774476222520038e-05
city,1.2533485942217614e-05
class_name,7.81641353711768e-06
promo_price_after,4.957749428003688e-06
division,2.3389165355713853e-06
dept_name,4.1230440894690836e-07
online_price,3.616501522513534e-07
price,1.9491631372805793e-07
item_type,1.841849174095306e-07
subclass_name,0.0
weight_volume,0.0
promo_price_before,0.0
markdown_qty,0.0
markdown_price,0.0
markdown_normal_price,0.0
fatness,0.0
weight_netto,0.0
