feature,importance,importance_pct
quantity_rolling_mean_7,0.6217916568315252,62.17916568315252
quantity_rolling_mean_14,0.27362117155367127,27.362117155367127
quantity_rolling_mean_30,0.03717624323825108,3.7176243238251083
sum_total,0.02991708291771734,2.991708291771734
day_of_week,0.009244903757967304,0.9244903757967304
sum_total_rolling_mean_30,0.008457348653905784,0.8457348653905784
price_base,0.006726579566709122,0.6726579566709122
quantity_lag_7,0.0025052402691266695,0.25052402691266695
week_of_year,0.0024412254965382367,0.24412254965382368
sum_total_rolling_mean_14,0.0016459109523925812,0.16459109523925813
sum_total_rolling_mean_7,0.0015151566446414094,0.15151566446414094
quantity_lag_30,0.0014349945990692783,0.14349945990692783
sum_total_lag_30,0.0009004502407647073,0.09004502407647073
day_of_month,0.0007177496503138982,0.07177496503138982
item_id,0.0006867552220975401,0.06867552220975401
sum_total_lag_7,0.0006560748648274977,0.06560748648274976
month,0.00022091966826982942,0.02209196682698294
promo_days,7.181030563803894e-05,0.007181030563803895
store_id,6.591692283542557e-05,0.006591692283542557
year,3.906012684036111e-05,0.003906012684036111
online_revenue,3.658559135565256e-05,0.003658559135565256
quarter,3.620200457820328e-05,0.0036202004578203277
online_qty,3.0114361471143267e-05,0.0030114361471143265
format,1.9272462034667762e-05,0.0019272462034667763
area,1.2774476222520038e-05,0.0012774476222520037
city,1.2533485942217614e-05,0.0012533485942217615
class_name,7.81641353711768e-06,0.000781641353711768
promo_price_after,4.957749428003688e-06,0.0004957749428003688
division,2.3389165355713853e-06,0.00023389165355713852
dept_name,4.1230440894690836e-07,4.1230440894690836e-05
online_price,3.616501522513534e-07,3.616501522513534e-05
price,1.9491631372805793e-07,1.9491631372805793e-05
item_type,1.841849174095306e-07,1.841849174095306e-05
markdown_qty,0.0,0.0
markdown_price,0.0,0.0
markdown_normal_price,0.0,0.0
subclass_name,0.0,0.0
weight_volume,0.0,0.0
weight_netto,0.0,0.0
fatness,0.0,0.0
promo_price_before,0.0,0.0
